,Symbol,Name,Sector,Industry
0,MMM,3M,Industrials,Industrial Conglomerates
1,AOS,A. O. Smith,Industrials,Building Products
2,ABT,Abbott,Health Care,Health Care Equipment
3,ABBV,AbbVie,Health Care,Pharmaceuticals
4,ABMD,Abiomed,Health Care,Health Care Equipment
5,ACN,Accenture,Information Technology,IT Consulting & Other Services
6,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
7,ADM,ADM,Consumer Staples,Agricultural Products
8,ADBE,Adobe Inc.,Information Technology,Application Software
9,ADP,ADP,Information Technology,Data Processing & Outsourced Services
10,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
11,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
12,AFL,Aflac,Financials,Life & Health Insurance
13,A,Agilent Technologies,Health Care,Health Care Equipment
14,APD,Air Products and Chemicals,Materials,Industrial Gases
15,AKAM,Akamai,Information Technology,Internet Services & Infrastructure
16,ALK,Alaska Air Group,Industrials,Airlines
17,ALB,Albemarle Corporation,Materials,Specialty Chemicals
18,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
19,ALGN,Align Technology,Health Care,Health Care Supplies
20,ALLE,Allegion,Industrials,Building Products
21,LNT,Alliant Energy,Utilities,Electric Utilities
22,ALL,Allstate,Financials,Property & Casualty Insurance
23,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
24,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
25,MO,Altria,Consumer Staples,Tobacco
26,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
27,AMCR,Amcor,Materials,Paper Packaging
28,AMD,AMD,Information Technology,Semiconductors
29,AEE,Ameren,Utilities,Multi-Utilities
30,AAL,American Airlines Group,Industrials,Airlines
31,AEP,American Electric Power,Utilities,Electric Utilities
32,AXP,American Express,Financials,Consumer Finance
33,AIG,American International Group,Financials,Property & Casualty Insurance
34,AMT,American Tower,Real Estate,Specialized REITs
35,AWK,American Water Works,Utilities,Water Utilities
36,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
37,ABC,AmerisourceBergen,Health Care,Health Care Distributors
38,AME,Ametek,Industrials,Electrical Components & Equipment
39,AMGN,Amgen,Health Care,Biotechnology
40,APH,Amphenol,Information Technology,Electronic Components
41,ADI,Analog Devices,Information Technology,Semiconductors
42,ANSS,Ansys,Information Technology,Application Software
43,AON,Aon,Financials,Insurance Brokers
44,APA,APA Corporation,Energy,Oil & Gas Exploration & Production
45,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
46,AMAT,Applied Materials,Information Technology,Semiconductor Equipment
47,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment
48,ANET,Arista Networks,Information Technology,Communications Equipment
49,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
50,AIZ,Assurant,Financials,Multi-line Insurance
51,T,AT&T,Communication Services,Integrated Telecommunication Services
52,ATO,Atmos Energy,Utilities,Gas Utilities
53,ADSK,Autodesk,Information Technology,Application Software
54,AZO,AutoZone,Consumer Discretionary,Specialty Stores
55,AVB,AvalonBay Communities,Real Estate,Residential REITs
56,AVY,Avery Dennison,Materials,Paper Packaging
57,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
58,BALL,Ball Corporation,Materials,Metal & Glass Containers
59,BAC,Bank of America,Financials,Diversified Banks
60,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores
61,BAX,Baxter International,Health Care,Health Care Equipment
62,BDX,Becton Dickinson,Health Care,Health Care Equipment
63,WRB,Berkley,Financials,Property & Casualty Insurance
64,BRKB,Berkshire Hathaway,Financials,Multi-Sector Holdings
65,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
66,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
67,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
68,BIIB,Biogen,Health Care,Biotechnology
69,BLK,BlackRock,Financials,Asset Management & Custody Banks
70,BK,BNY Mellon,Financials,Asset Management & Custody Banks
71,BA,Boeing,Industrials,Aerospace & Defense
72,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
74,BXP,Boston Properties,Real Estate,Office REITs
75,BSX,Boston Scientific,Health Care,Health Care Equipment
76,BMY,Bristol Myers Squibb,Health Care,Health Care Distributors
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services
79,BRO,Brown & Brown,Financials,Insurance Brokers
80,BFB,Brown–Forman,Consumer Staples,Distillers & Vintners
81,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics
82,CDNS,Cadence Design Systems,Information Technology,Application Software
83,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
84,CPT,Camden Property Trust,Real Estate,Residential REITs
85,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats
86,COF,Capital One,Financials,Consumer Finance
87,CAH,Cardinal Health,Health Care,Health Care Distributors
88,KMX,CarMax,Consumer Discretionary,Automotive Retail
89,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
90,CARR,Carrier Global,Industrials,Building Products
91,CTLT,Catalent,Health Care,Pharmaceuticals
92,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks
93,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
94,CBRE,CBRE Group,Real Estate,Real Estate Services
95,CDW,CDW,Information Technology,Technology Distributors
96,CE,Celanese,Materials,Specialty Chemicals
97,CNC,Centene Corporation,Health Care,Managed Health Care
98,CNP,CenterPoint Energy,Utilities,Multi-Utilities
99,CDAY,Ceridian,Information Technology,Application Software
100,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
101,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
102,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
103,CHTR,Charter Communications,Communication Services,Cable & Satellite
104,CVX,Chevron Corporation,Energy,Integrated Oil & Gas
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
106,CB,Chubb Limited,Financials,Property & Casualty Insurance
107,CHD,Church & Dwight,Consumer Staples,Household Products
108,CI,Cigna,Health Care,Managed Health Care
109,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
110,CTAS,Cintas,Industrials,Diversified Support Services
111,CSCO,Cisco,Information Technology,Communications Equipment
112,C,Citigroup,Financials,Diversified Banks
113,CFG,Citizens Financial Group,Financials,Regional Banks
114,CLX,Clorox,Consumer Staples,Household Products
115,CME,CME Group,Financials,Financial Exchanges & Data
116,CMS,CMS Energy,Utilities,Multi-Utilities
117,KO,The Coca-Cola Company,Consumer Staples,Soft Drinks
118,CTSH,Cognizant,Information Technology,IT Consulting & Other Services
119,CL,Colgate-Palmolive,Consumer Staples,Household Products
120,CMCSA,Comcast,Communication Services,Cable & Satellite
121,CMA,Comerica,Financials,Diversified Banks
122,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
123,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
124,ED,Consolidated Edison,Utilities,Electric Utilities
125,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
126,CEG,Constellation Energy,Utilities,Multi-Utilities
127,COO,CooperCompanies,Health Care,Health Care Supplies
128,CPRT,Copart,Industrials,Diversified Support Services
129,GLW,Corning Inc.,Information Technology,Electronic Components
130,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
131,CSGP,CoStar Group,Industrials,Research & Consulting Services
132,COST,Costco,Consumer Staples,Hypermarkets & Super Centers
133,CTRA,Coterra,Energy,Oil & Gas Exploration & Production
134,CCI,Crown Castle,Real Estate,Specialized REITs
135,CSX,CSX,Industrials,Railroads
136,CMI,Cummins,Industrials,Industrial Machinery
137,CVS,CVS Health,Health Care,Health Care Services
138,DHI,D.R. Horton,Consumer Discretionary,Homebuilding
139,DHR,Danaher Corporation,Health Care,Health Care Equipment
140,DRI,Darden Restaurants,Consumer Discretionary,Restaurants
141,DVA,DaVita Inc.,Health Care,Health Care Facilities
142,DE,John Deere,Industrials,Agricultural & Farm Machinery
143,DAL,Delta Air Lines,Industrials,Airlines
144,XRAY,Dentsply Sirona,Health Care,Health Care Supplies
145,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
146,DXCM,Dexcom,Health Care,Health Care Equipment
147,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
148,DLR,Digital Realty,Real Estate,Specialized REITs
149,DFS,Discover Financial,Financials,Consumer Finance
150,DISH,Dish Network,Communication Services,Cable & Satellite
151,DIS,Disney,Communication Services,Movies & Entertainment
152,DG,Dollar General,Consumer Discretionary,General Merchandise Stores
153,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores
154,D,Dominion Energy,Utilities,Electric Utilities
155,DPZ,Domino's,Consumer Discretionary,Restaurants
156,DOV,Dover Corporation,Industrials,Industrial Machinery
157,DOW,Dow Inc.,Materials,Commodity Chemicals
158,DTE,DTE Energy,Utilities,Multi-Utilities
159,DUK,Duke Energy,Utilities,Electric Utilities
160,DD,DuPont,Materials,Specialty Chemicals
161,DXC,DXC Technology,Information Technology,IT Consulting & Other Services
162,EMN,Eastman Chemical Company,Materials,Diversified Chemicals
163,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
164,EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
165,ECL,Ecolab,Materials,Specialty Chemicals
166,EIX,Edison International,Utilities,Electric Utilities
167,EW,Edwards Lifesciences,Health Care,Health Care Equipment
168,EA,Electronic Arts,Communication Services,Interactive Home Entertainment
169,ELV,Elevance Health,Health Care,Managed Health Care
170,LLY,Eli Lilly and Company,Health Care,Pharmaceuticals
171,EMR,Emerson Electric,Industrials,Electrical Components & Equipment
172,ENPH,Enphase,Information Technology,Electronic Components
173,ETR,Entergy,Utilities,Electric Utilities
174,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
175,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
176,EQT,EQT,Energy,Oil & Gas Exploration & Production
177,EFX,Equifax,Industrials,Research & Consulting Services
178,EQIX,Equinix,Real Estate,Specialized REITs
179,EQR,Equity Residential,Real Estate,Residential REITs
180,ESS,Essex Property Trust,Real Estate,Residential REITs
181,EL,The Estée Lauder Companies,Consumer Staples,Personal Products
182,ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
183,RE,Everest Re,Financials,Reinsurance
184,EVRG,Evergy,Utilities,Electric Utilities
185,ES,Eversource,Utilities,Multi-Utilities
186,EXC,Exelon,Utilities,Multi-Utilities
187,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail
188,EXPD,Expeditors International,Industrials,Air Freight & Logistics
189,EXR,Extra Space Storage,Real Estate,Specialized REITs
190,XOM,ExxonMobil,Energy,Integrated Oil & Gas
191,FFIV,"F5, Inc.",Information Technology,Communications Equipment
192,FDS,FactSet,Financials,Financial Exchanges & Data
193,FAST,Fastenal,Industrials,Building Products
194,FRT,Federal Realty,Real Estate,Retail REITs
195,FDX,FedEx,Industrials,Air Freight & Logistics
196,FITB,Fifth Third Bank,Financials,Regional Banks
197,FRC,First Republic Bank,Financials,Regional Banks
198,FE,FirstEnergy,Utilities,Electric Utilities
199,FIS,FIS,Information Technology,Data Processing & Outsourced Services
200,FISV,Fiserv,Information Technology,Data Processing & Outsourced Services
201,FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services
202,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
203,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
204,FTNT,Fortinet,Information Technology,Systems Software
205,FTV,Fortive,Industrials,Industrial Machinery
206,FBHS,Fortune Brands Home & Security,Industrials,Building Products
207,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment
208,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment
209,BEN,Franklin Templeton,Financials,Asset Management & Custody Banks
210,FCX,Freeport-McMoRan,Materials,Copper
211,GRMN,Garmin,Consumer Discretionary,Consumer Electronics
212,IT,Gartner,Information Technology,IT Consulting & Other Services
213,GNRC,Generac,Industrials,Electrical Components & Equipment
214,GD,General Dynamics,Industrials,Aerospace & Defense
215,GE,General Electric,Industrials,Industrial Conglomerates
216,GIS,General Mills,Consumer Staples,Packaged Foods & Meats
217,GM,General Motors,Consumer Discretionary,Automobile Manufacturers
218,GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores
219,GILD,Gilead Sciences,Health Care,Biotechnology
220,GL,Globe Life,Financials,Life & Health Insurance
221,GPN,Global Payments,Information Technology,Data Processing & Outsourced Services
222,GS,Goldman Sachs,Financials,Investment Banking & Brokerage
223,HAL,Halliburton,Energy,Oil & Gas Equipment & Services
224,HIG,Hartford (The),Financials,Property & Casualty Insurance
225,HAS,Hasbro,Consumer Discretionary,Leisure Products
226,HCA,HCA Healthcare,Health Care,Health Care Facilities
227,PEAK,Healthpeak,Real Estate,Health Care REITs
228,HSIC,Henry Schein,Health Care,Health Care Distributors
229,HSY,Hershey's,Consumer Staples,Packaged Foods & Meats
230,HES,Hess Corporation,Energy,Integrated Oil & Gas
231,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
232,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
233,HOLX,Hologic,Health Care,Health Care Equipment
234,HD,The Home Depot,Consumer Discretionary,Home Improvement Retail
235,HON,Honeywell,Industrials,Industrial Conglomerates
236,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats
237,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
238,HWM,Howmet Aerospace,Industrials,Aerospace & Defense
239,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
240,HUM,Humana,Health Care,Managed Health Care
241,HBAN,Huntington Bancshares,Financials,Regional Banks
242,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
243,IBM,IBM,Information Technology,IT Consulting & Other Services
244,IEX,IDEX Corporation,Industrials,Industrial Machinery
245,IDXX,Idexx Laboratories,Health Care,Health Care Equipment
246,ITW,Illinois Tool Works,Industrials,Industrial Machinery
247,ILMN,Illumina,Health Care,Life Sciences Tools & Services
248,INCY,Incyte,Health Care,Biotechnology
249,IR,Ingersoll Rand,Industrials,Industrial Machinery
250,INTC,Intel,Information Technology,Semiconductors
251,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
252,IP,International Paper,Materials,Paper Packaging
253,IPG,The Interpublic Group of Companies,Communication Services,Advertising
254,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
255,INTU,Intuit,Information Technology,Application Software
256,ISRG,Intuitive Surgical,Health Care,Health Care Equipment
257,IVZ,Invesco,Financials,Asset Management & Custody Banks
258,INVH,Invitation Homes,Real Estate,Residential REITs
259,IQV,IQVIA,Health Care,Life Sciences Tools & Services
260,IRM,Iron Mountain,Real Estate,Specialized REITs
261,JBHT,J.B. Hunt,Industrials,Trucking
262,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services
263,J,Jacobs Solutions,Industrials,Construction & Engineering
264,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
265,JCI,Johnson Controls,Industrials,Building Products
